"project_id";"project_name";"app_id";"app_name";"first_seen_at";"last_seen_at";"last_seen_app_version";"last_seen_ip_country";"last_seen_platform";"last_seen_platform_version";"last_seen_sdk_version";"last_seen_locale";"price_experiment_id";"price_experiment_variant";"email";"phone_number";"media_source";"campaign";"ad_group";"ad";"keyword";"creative";"idfa";"idfv";"gps_ad_id";"custom_attributes";"has_made_sandbox_purchase";"latest_entitlement";"latest_entitlements";"latest_product";"is_rc_promo";"first_purchase_at";"trial_start_at";"trial_end_at";"most_recent_purchase_at";"most_recent_renewal_at";"latest_expiration_at";"subscription_opt_out_at";"trial_opt_out_at";"total_renewals";"total_spent";"latest_store";"latest_store_country";"latest_auto_renew_intent";"all_purchased_product_ids";"most_recent_billing_issues_at";"status";"has_made_a_non_subscription_purchase";"latest_offer";"latest_offer_type";"latest_purchased_offering";"latest_ownership_type";"app_user_id";"currency"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775458825729;1778449994000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775458874000;1775458874000;1775718074000;1778310074000;1778310074000;1780988474000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_264258ED-9261-4132-B3E1-BC454D63ADD3";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1773494271084;1779200415000;"1.5.3";"US";"iOS";"Version 18.7.2 (Build 22H124)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1773495233000;1773495233000;1773754433000;1779024833000;1779024833000;1781703233000;;;2;26.970000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:d049a76d4209471f831c4e127981fff8";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1774215881557;1778564651000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"103";false;1775343621000;1775343621000;1775602821000;1775602821000;;1807138821000;;;0;59.990000000000002;"app_store";"US";"t";"103";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_11E85759-2E6B-4FFC-904E-F43B82FE8B9D";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777238185059;1779152249000;"1.5.3";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777238240000;1777238240000;1777497440000;1777497440000;;1780089440000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_0B233037-89DF-4265-8EB3-059A59C2A6BE";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1773197262761;1775918586000;"1.3.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1773603301000;1773603301000;1773862501000;1779132901000;1779132901000;1781811301000;;;2;26.970000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:c09d968c8a6d4338b831c84030fc4a04";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1779039900929;1779039946000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1779039987000;1779039987000;1779299187000;1779299187000;;1781977587000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_62AA1A6A-1EA5-4158-8EA8-9A9C0435F70F";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1776627529757;1778774484000;"1.5.3";"US";"iOS";"Version 26.5 (Build 23F77)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"101";false;1776637584000;1776637584000;1776896784000;1779315984000;1779315984000;1779920784000;;;4;14.950000000000000;"app_store";"US";"t";"101";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_EBE4F5E9-9C5A-4CB1-9E1D-2461E43FADCA";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1774881489990;1779030778000;"1.5.3";"US";"iOS";"Version 18.7.8 (Build 22H352)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775590595000;1775590595000;1775849795000;1778542585000;1778542585000;1781220985000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";;"PURCHASED";"hw_D3D3E8A0-3AB9-48A8-8B1C-E7EED1DBED21";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777748060056;1779139572000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777748101000;1777748101000;1778007301000;1778007301000;;1780685701000;1778354379235;;0;8.990000000000000;"app_store";"US";"f";"100";;"cancelled";"f";;"no_offer";"default";"PURCHASED";"hw_B81D7799-6FEC-4ABE-BBDC-7B2277315E0F";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777846962353;1777847123000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777847200000;1777847200000;1778106400000;1778106400000;;1780784800000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:939226cb2b5e42c2b6bc180d0e2a3891";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1375340400000;1779407353000;"1.5.3";"US";"iOS";"Version 26.1 (Build 23B85)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"t";;"Pocket Pricer Pro";"100";false;1772749968000;;;1778016768000;1778016768000;1780695168000;;;2;26.970000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_34757713-9542-43F2-98D1-B0D8E79D14D8";"USD"
